HIP,HD,ra_j2000,dec_j2000,tmass_id,theta_LD,e_theta_LD,ref_theta_LD,teff,e_teff,e_teff_percent,logg,e_logg,fe_h
HIP101345,HD195564,308.098734,-9.85336,20322369-0951120,0.712,0.03,2013ApJ...771...40B,5514,116,2.1,3.95,0.09,0.05
HIP10234,HD13468,32.899353,-1.825372,02113584-0149313,0.886,0.01,2018A\&A...616A..68G,4676,80,1.7,2.37,0.09,-0.13
HIP102422,HD198149,311.32238,61.838875,20451737+6150199,2.882,0.088,2016ApJS..227....4H,4751,73,1.5,3.15,0.05,-0.13
HIP103598,HD200205,314.855743,59.438618,20592537+5926190,2.032,0.043,2010ApJ...710.1365B,4032,45,1.1,1.2,0.06,-0.36
HIP104214,HD201091,316.722567,38.748055,21065341+3844529,1.775,0.013,2008A\&A...488..667K,4398,34,0.8,4.63,0.01,-0.13
HIP104217,HD201092,316.728082,38.740715,21065473+3844265,1.581,0.022,2008A\&A...488..667K,4174,47,1.1,4.68,0.02,-0.21
HIP106039,HD204381,322.180773,-21.807135,21284338-2148256,1.524,0.017,2018A\&A...616A..68G,5079,31,0.6,2.86,0.04,-0.11
HIP108535,HD209369,329.812297,73.179901,21591495+7310476,0.621,0.017,2016A\&A...586A..94L,6754,93,1.4,3.84,0.05,-0.24
HIP108870,HD209100,330.839841,-56.785934,22032156-5647093,1.758,0.012,2020MNRAS.493.2377R,4754,35,0.7,4.62,0.01,-0.13
HIP109176,HD210027,331.752831,25.345123,22070067+2520424,1.206,0.053,2009ApJ...694.1085V,6419,141,2.2,4.15,0.06,-0.11
HIP109937,HD211388,333.992372,37.748707,22155816+3744553,3.371,0.049,2018AJ....155...30B,4258,41,1,1.39,0.05,-0.05
HIP11095,HD15248,35.718134,-73.64579,02225235-7338448,0.949,0.019,2018A\&A...616A..68G,4721,52,1.1,2.59,0.06,0.06
